Image,Quote
2, Up in front there with the screen so big a little kid all alone and I loved it. I loved anything that moved up there and I didn't miss anything that happened and there was no popcorn either.
2, Love alone is capable of uniting living beings in such a way as to complete and fulfill them for it alone takes them and joins them by what is deepest in themselves.
2, On stage I make love to twenty five thousand people and then I go home alone.
2, It is very easy to love alone.
2, Nothing we do however virtuous can be accomplished alone therefore we are saved by love.
2, Love turns with a little indulgence to indifference or disgust hatred alone is immortal.
2, To love our neighbor as ourselves is such a truth for regulating human society that by that alone one might determine all the cases in social morality.
2, We perceive when love begins and when it declines by our embarrassment when alone together.
2, Sensual love deceives one as to the nature of heavenly love it could not do so alone but since it unconsciously has the element of heavenly love within it it can do so.
2, At the beginning and at the end of love the two lovers are embarrassed to find themselves alone.
2, I love clothes but I don't know what to put on myself let alone others. I have a lot of help getting dressed.
2,There's one Baldessari work I genuinely love and would like to own maybe because of my Midwestern roots and love of driving alone. 'The backs of all the trucks passed while driving from Los Angeles to Santa Barbara California Sunday 20 January 1963' consists of a grid of 32 small color photographs depicting just what the title says.
2, Is it not by love alone that we succeed in penetrating to the very essence of being?
2, I was passionate. I found something that I loved. I could be all alone in a big old skating rink and nobody could get near me and I didn't have to talk to anybody because of my shyness. It was great. I was in my fantasy world.
2, Love alone could waken love.
2, We can recognize the dawn and the decline of love by the uneasiness we feel when alone together.
2, I can't really define it in sexual terms alone although our sexuality is so energizing why not enjoy it too?
2, I love my government not least for the extent to which it leaves me alone.
2, Women are smart in business and dumb in love. They won't date outside their zip code let alone outside the city. They are city snobs.
2, People love pretty much the same things best. A writer looking for subjects inquires not after what he loves best but after what he alone loves at all.
2, Forbidden pleasures alone are loved immoderately when lawful they do not excite desire.
2, I rise to taste the dawn and find that love alone will shine today.
2, In truth I am a single mother. But I don't feel alone at all in parenting my daughter. Krishna has a whole other side of her family who loves her too. And so Krishna is parented by me but also by her grandmother and aunts and cousins and uncles and friends.
2, Luckily my husband is my business partner as well as my life partner so I never had to do the heavy lifting alone literally or figuratively.
2, When I was old enough to go to movies alone I got to see 'Frankenstein' and 'Dracula' on the big screen. I just fell in love with them.
2, I sailboat raced I love to go out on my motorcycle alone but I also love my family dearly. I love that aspect of my life as well.
2, I personally love to run outdoor fitness trails. I love the meditative value I get when out alone challenging myself to run faster and higher.
2, I love nicknames. It makes me feel loved. It makes me feel less alone in this world.
2, He alone loves the Creator perfectly who manifests a pure love for his neighbor.
2, I love the way you can fall in love with a piece of literature how words alone can get your heart doing that.
2, I'm throwing myself back in because I like being married. I don't want to end this whole fabulous journey alone. I want someone by my side who I love and who loves me. I've finally found somebody who's up to the task of being my wife because I'm very high maintenance.
2, The private interest of the individual would not be sufficiently provided for by reasonable and cool self-love alone therefore the appetites and passions are placed within as a guard and further security without which it would not be taken due care of.
2, I love photo sessions. I'm alone I'm the queen everyone's taking care of me.
2, Your thoughts and emotions are yours alone.
2, With love you should go ahead and take the risk of getting hurt because love is an amazing feeling.
2, I really love the internet. They say chat-rooms are the trailer park of the internet but I find it amazing.
2, As a kid I kind of spent my life being amazed by being tricked. I love being tricked. I still love it today.
2, I'm not an Adonis that's for damn sure. I've never really thought of myself that way and it doesn't matter to me. My favorite actors aren't Adonises. Dustin Hoffman is a flawed-looking man he's amazing to me. Tom Hanks is flawed-looking people love him. Same with Gene Hackman.
2, I love Benny Hill. He one of my favourites of aaall time. Like the way Benny did it he was just amazing. Just seeing how he put songs together and comedy and the timing and the sketches. He was way ahead of his time.
2, Gwen Stefani has amazing style. I used to really love Courtney Love and anything she wore I loved. Or Chloe Sevigny because I really love that sort of classic look and I like being girly and flowery and wearing little D&ampG dresses. I wear hats a lot too. I think it goes back to when I was a bit grungy and was a skater girl for a bit.
2, It's such an amazing thing to be loved for who you are.
2, With reality TV sometimes it's amazing chemistry and you get these gems that turn out to be everything you hoped and the camera loves them and they just blossom on the show. And then sometimes it's not all you envision.
2, I love Jessica Simpson. I love her voice. She's amazing.
2, I thought I was dreaming. It was the most amazing moment of my entire life. Not only is Bill the love of my life but he's also my best friend. I couldn't believe my dream guy was asking me to marry him!
2,I've had an amazing professional life personal life but at 64 to have a son who gives us that much love and enjoyment is wow!
2, I'd love to do something with Kelly Clarkson because she's been a monumental influence on me. I love how she handles her celebrity. She's not in the tabloids a lot but everyone knows and respects her because she's got an amazing voice. That's something I aim towards.
2, I'm so excited for my first fragrance! I chose to partner with Dots because I love what they do for their customers bringing them the hottest trends in fashion accessories and fragrance at unbelievably low prices. It's amazing!
2, I love a beautiful gown on stage and luckily I've been fortunate to wear some amazing dresses.
2, I get such lovely gifts from fans... amazing pictures handmade jewellery. I'm very lucky!
2,My daughter is in love with Adele. She listens to her every day. To see someone with that much passion and soul move a 9-year-old is amazing and it's magical.
2, I really would love to do a piece like Julia Roberts or Charlize Theron in 'Erin Brockovich' or 'North Country.' They were both so amazing and so inspiring. I would love to touch someone in the way their performances touched me.
2, I'm an actor so sometimes there are moments where I think about everything that's happening and I want to cry. I'm doing what I love and I will be doing it for a very very long time - and it's amazing. A lot of people don't get to do that.
2, As his partner on this amazing journey I can tell you Mitt Romney was not handed success. He built it.
2, I love vintage shopping I think it's really fun. And I love the feeling of finding the most amazing piece for less.
2, I love Louisiana. It's amazing.
2, I have a wonderful husband. I have three amazing kids.
2, Beyonce is the most amazing woman in the world.
2, I love getting dressed up. Being a pop star is the most brilliant job for that. A lot of girls love shopping but they might see the most amazing outfit and think 'When am I going to wear that?' so it's my duty to exploit the fact I do have events I can wear these things to.
2, I love to go shopping at Target. They have so much stuff there you can buy almost anything it's really amazing.
2, I know this is going to sound corny but I love my life. I love my baby so I love getting to wake up with him. And I have the most amazing job with writing that any actor would love and costars who I can't wait to see on Monday mornings. And I love coming home to my husband.
2, Katy Perry is the sexiest woman I've ever kissed. It was amazing and very purple - she had purple lipstick on. I don't think there will ever be anything cooler than kissing her... until I marry her maybe!
2, Elle MacPherson is absolutely amazing she is just so beautiful.
2, I've seen Bruno Mars before he's amazing.
2, The way that people show me love on Twitter? I don't know man. It's amazing.
2, I have an amazing relationship with my wife but sometimes there are arguments. It happens.
2, To love and win is the best thing. To love and lose
3, Bashfulness is an ornament to youth but a reproach to old age.
3, In every country and every age the priest had been hostile to Liberty.
3, The heresy of one age becomes the orthodoxy of the next.
3, Every formula of every religion has in this age of reason to submit to the acid test of reason and universal assent.
3, It is possible that mankind is on the threshold of a golden age but if so it will be necessary first to slay the dragon that guards the door and this dragon is religion.
3, Many believe - and I believe - that I have been designated for this work by God. 
3, Man has no Body distinct from his Soul for that called Body is a portion of Soul discerned by the five Senses the chief inlets of Soul in this age.
3, God employs several translators some pieces are translated by age some by sickness some by war some by justice.
3, I was born in ancient times at the end of the world in a patriarchal Catholic and conservative family. No wonder that by age five I was a raging feminist - although the term had not reached Chile yet so nobody knew what the heck was wrong with me.
3, If you read back in the Bible the letter of the apostle Paul to the church of Thessalonia he said that in the latter days before the end of the age that the Earth would be caught up in what he called the birth pangs of a new order.
3, From the age of fifteen dogma has been the fundamental principle of my religion I know no other religion I cannot enter into the idea of any other sort of religion religion as a mere sentiment is to me a dream and a mockery.
3, Young man the secret of my success is that an early age I discovered that I was not God.
3, It is not classified as a pagan religion. The so-called New Age activities and this are not called religions and therefore don't come under the prohibition of mingling church and state that we have in this country.
3, Religion is the best antidote to the individualism of the consumer age. The idea that society can do without it flies in the face of history and now evolutionary biology.
3, Religiosity turns out to be the best indicator of civic involvement it's more accurate than education age income gender or race.
3, As a precocious teen I dreamed of being Graham Greene. Well as it turned out I never wrote a great novel sadly and I never converted to Catholicism happily but I did do one thing he did. That is in middle age I moved to a seaside town and got into a right barney with the local powers-that-be.
3, We Jews have a special attachment to the Book. The study of page after page in tomes yellowing with age was obligatory.
3, Catholics and evangelicals need to remain allied and in solidarity against the increasingly aggressive secularism of our age.
3, The freethinking of one age is the common sense of the next.
3, These days too many of us seem inclined to cover our ears close our eyes and blindly follow the most narrow conservative tenets of religion or else seek comfort in the ancient traditions of New Age ritual.
3, In Genesis it says that it is not good for a man to be alone but sometimes it is a great relief.
3, You can't fake it when you're alone with God you know.
3, Before the throne of the Almighty man will be judged not by his acts but by his intentions. For God alone reads our hearts.
3, We can be tired weary and emotionally distraught but after spending time alone with God we find that He injects into our bodies energy power and strength.
3, The best remedy for those who are afraid lonely or unhappy is to go outside somewhere where they can be quiet alone with the heavens nature and God. Because only then does one feel that all is as it should be.
3, Our Lord has written the promise of resurrection not in books alone but in every leaf in springtime.
3, To Follow by faith alone is to follow blindly.
3, God writes the Gospel not in the Bible alone but also on trees and in the flowers and clouds and stars.
3, Ah mon cher for anyone who is alone without God and without a master the weight of days is dreadful.
3, The time you spend alone with God will transform your character and increase your devotion. Then your integrity and godly behavior in an unbelieving world will make others long to know the Lord.
3, Saving faith is an immediate relation to Christ accepting receiving resting upon Him alone for justification sanctification and eternal life by virtue of God's grace.
3, Everything great in the world comes from neurotics. They alone have founded our religions and composed our masterpieces.
3, You that would judge me do not judge alone this book or that come to this hallowed place where my friends' portraits hang and look thereon Ireland's history in their lineaments trace think where man's glory most begins and ends and say my glory was I had such friends.
3, Too many Christians have a commitment of convenience. They'll stay faithful as long as it's safe and doesn't involve risk rejection or criticism. 
3, Faith mighty faith the promise sees And looks to God alone Laughs at impossibilities And cries it shall be done.
3, Human beings should be held accountable. Leave God alone. He has enough problems.
3, Man shall not live by bread alone but by every word that proceeds from the mouth of God.
3, The words of the Bible and the Bible alone should be heard from the pulpit.
3, A man filled with the love of God is not content with blessing his family alone but ranges through the whole world anxious to bless the whole human race.
3, We can only know one thing about God - that he is what we are not. Our wretchedness alone is an image of this. The more we contemplate it the more we contemplate him.
3, God created man and finding him not sufficiently alone gave him a companion to make him feel his solitude more keenly.
3, The Bible was a consolation to a fellow alone in the old cell. The lovely thin paper with a bit of matress stuffing in it if you could get a match was as good a smoke as I ever tasted.
3, India is the meeting place of the religions and among these Hinduism alone is by itself a vast and complex thing not so much a religion as a great diversified and yet subtly unified mass of spiritual thought realization and aspiration.
3, Look at the Afghans during the time of the Soviet invasion. They were among the poorest Muslims in the world yet they were sustained by their faith in God and God alone.
3, While the resurrection promises us a new and perfect life in the future God loves us too much to leave us alone to contend with the pain guilt and loneliness of our present life.
3, We neither laugh alone nor weep alone why then should we pray alone?
3, Unhappy let alone angry religious people provide more persuasive arguments for atheism and secularism than do all the arguments of atheists.
3, If the First Amendment means anything it means that a state has no business telling a man sitting alone in his house what books he may read or what films he may watch.
3, The history of philosophy is not like the history of the sciences to be studied with the intellect alone. That which is receptive in us and that which impinges upon us from history is the reality of man's being unfolding itself in thought.
3, Work apart from devotion or love of God is helpless and cannot stand alone.
3, This and this alone is Christianity a universal holiness in every part of life a heavenly wisdom in all our actions not conforming to the spirit and temper of the world but turning all worldly enjoyments into means of piety and devotion to God.
3, Finds progress man's distinctive mark alone Not God's and not the beast's God is they are Man partly is and wholly hopes to be.
3, Muslims must believe that all power success and victory comes from God alone.
3, For so long as the Jew has even one ally he will be convinced - in his smallness of mind - that his salvation came from that ally. 
3, In a civilized society all crimes are likely to be sins but most sins are not and ought not to be treated as crimes. Man's ultimate responsibility is to God alone.
3, Buddhism notes that it is always a mistake to think your soul can go it alone.
3, All still lifes are actually paintings of the world on the sixth day of creation when God and the world were alone together without man!
3, Lord Bless our enemies have mercy upon them may they turn their course and let us alone and let us live in peace at our homes in our own native land.
3, The problems that the world faces - from nuclear proliferation to climate change - can't be tackled by the West alone. They need a coalition of not just West and East but they need a coalition of Christian and Jew and Muslim.
3, Religion is the possibility of the removal of every ground of confidence except confidence in God alone.
3, The Lord had the wonderful advantage of being able to work alone.
3, The devil had as good have let Paul alone for he no sooner comes into prison but he falls a preaching at which the gates of Satan's prison fly open and poor sinners come forth.
3, The Jew does not wish to be isolated. He fears being alone without allies.
3, We cannot know the whole truth which belongs to God alone but our task nevertheless is to seek to know what is true. And if we offend gravely enough against what we know to be true as by failing badly enough to deal affectionately and responsibly with our land and our neighbors truth will retaliate with ugliness poverty and disease.
3, Tell me who is able to keep his bed chaste or which goddess is able to live with one god alone?
3, Judaism is much more communal and partly as a consequence of my religious switch I am increasingly more suspicous of my previous view that what people do in the privacy of their own home is their business alone.
3, Acquire the habit of speaking to God as if you were alone with Him familiarly and with confidence and love as to the dearest and most loving of friends.
3, We are very anxious to bring the Jews of Morocco over and we are doing all we can to achieve this. But we cannot count on the Jews of Morocco alone to build the country because they have not been educated for this.
3, You will never cease to be the most amazed person on earth at what God has done for you on the inside.
3, To feel the presence of the Lord is an amazing thing.
3, I thank you God for this most amazing day for the leaping greenly spirits of trees and for the blue dream of sky and for everything which is natural which is infinite which is yes.
3, Here is the amazing thing about Easter the Resurrection Sunday for Christians is this that Christ in the dying moments on the cross gives us the greatest illustration of forgiveness possible.
3, Isn't it amazing that we are all made in God's image and yet there is so much diversity among his people?
3, I believe that the majority of times the scale tilts toward the good. It's this amazing thing that rolls on and if we get in the flow of it that's God. And if we fight it if we swim the other way we're swimming away from the purest expression of this life.
3, It's really amazing that in the age of unbelief as a smart man called it there isn't even more fraud. After all with no God there's no one to ever call you to account and no accounting at all if you can get away with it.
3, Although believers by nature are far from God and children of wrath even as others yet it is amazing to think how nigh they are brought to him again by the blood of Jesus Christ.
3, Nothing is more generally known than our duties which belong to Christianity and yet how amazing is it nothing is less practiced?
3, God bless you if you have one child but I don't think anybody should have just one child. 
3, Going to a concert is so overwhelming and the energy is amazing.
3, The attitude is we live and let live. This is actually an amazing change in values in a rather short time and it's an example of freedom from religion.
3, My grandfather has seen this country evolve in amazing ways. He looks at South Carolina and he says wow what an amazing state that we have the blessing to live within because of the evolution.
3, I grew up in a Christian home with amazing parents.
3, He who possesses art and science has religion he who does not possess them needs religion
3, The best thing about religion is that the very absence of that certainty is what requires - and gives rise to - deep feelings of faith
3, The best way is to say that as a Christian for me the essence of Christian faith is that you treat others as if you wish to be treated
3, The groves were God's first temples
3, We need to find God and he cannot be found in noise and restlessness. God is the friend of silence
3, The spiritual element the really important part of religion has no concern with Time and Space
3, In other words a person who is fanatic in matters of religion and clings to certain ideas about the nature of God and the universe becomes a person who has no faith at all
3, Faith means living with uncertainty - feeling your way through life letting your heart guide you like a lantern in the dark
5, Common sense is the collection of prejudices acquired by age eighteen.
5, Reading after a certain age diverts the mind too much from its creative pursuits. Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.
5, Information is the oxygen of the modern age. It seeps through the walls topped by barbed wire it wafts across the electrified borders.
5, Each age it is found must write its own books or rather each generation for the next succeeding.
5, Education is the best provision for old age.
5, Why should society feel responsible only for the education of children and not for the education of all adults of every age?
5, I've got volumes on how not to behave. I've got more information now than a guy should have at my age.
5, Books were my pass to personal freedom. I learned to read at age three and soon discovered there was a whole world to conquer that went beyond our farm in Mississippi.
5, Every great architect is - necessarily - a great poet. He must be a great original interpreter of his time his day his age.
5, Every age has its own poetry in every age the circumstances of history choose a nation a race a class to take up the torch by creating situations that can be expressed or transcended only through poetry.
5, Publishing is in a kind of Jurassic age.
5, Once I planned to write a book of poems entirely about the things in my pocket. But I found it would be too long and the age of the great epics is past.
5, I am of a healthy long lived race and our minds improve with age.
5, In this age which believes that there is a short cut to everything the greatest lesson to be learned is that the most difficult way is in the long run the easiest.
5, If repression has indeed been the fundamental link between power knowledge and sexuality since the classical age it stands to reason that we will not be able to free ourselves from it except at a considerable cost.
5, A major advantage of age is learning to accept people without passing judgment.
